column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
good luck that.	thanks.	good luck that.	thanks.	good luck that.	thanks.
today?	i'm great. you?	today?	i'm great. you?	today?	i'm great. you?
i'm great. you?	i'm absolutely lovely, thank you.	i'm great. you?	i'm absolutely lovely, thank you.	i'm great. you?	i'm absolutely lovely, thank you.
i'm absolutely lovely, thank you.	everything's good you?	i'm absolutely lovely, thank you.	everything's good you?	i'm absolutely lovely, thank you.	everything's good you?
everything's good you?	haven't better. yourself?	everything's good you?	haven't better. yourself?	everything's good you?	haven't better. yourself?
haven't better. yourself?	started school recently.	haven't better. yourself?	started school recently.	haven't better. yourself?	started school recently.
started school recently.	going school?	started school recently.	going school?	started school recently.	going school?
going school?	i'm going pcc.	going school?	i'm going pcc.	going school?	i'm going pcc.
i'm going pcc.	like far?	i'm going pcc.	like far?	i'm going pcc.	like far?
like far?	like far. classes pretty good right now.	like far?	like far. classes pretty good right now.	like far?	like far. classes pretty good right now.
like far. classes pretty good right now.	wish luck.	like far. classes pretty good right now.	wish luck.	like far. classes pretty good right now.	wish luck.
it's ugly day today.	know. think rain.	it's ugly day today.	know. think rain.	it's ugly day today.	know. think rain.
know. think rain.	it's middle summer, shouldn't rain today.	know. think rain.	it's middle summer, shouldn't rain today.	know. think rain.	it's middle summer, shouldn't rain today.
it's middle summer, shouldn't rain today.	weird.	it's middle summer, shouldn't rain today.	weird.	it's middle summer, shouldn't rain today.	weird.
weird.	yeah, especially it's ninety degrees outside.	weird.	yeah, especially it's ninety degrees outside.	weird.	yeah, especially it's ninety degrees outside.
yeah, especially it's ninety degrees outside.	know, horrible rained hot outside.	yeah, especially it's ninety degrees outside.	know, horrible rained hot outside.	yeah, especially it's ninety degrees outside.	know, horrible rained hot outside.
know, horrible rained hot outside.	yes, be.	know, horrible rained hot outside.	yes, be.	know, horrible rained hot outside.	yes, be.
yes, be.	wish wasn't hot day.	yes, be.	wish wasn't hot day.	yes, be.	wish wasn't hot day.
wish wasn't hot day.	too. can't wait winter.	wish wasn't hot day.	too. can't wait winter.	wish wasn't hot day.	too. can't wait winter.
too. can't wait winter.	like winter too, gets cold.	too. can't wait winter.	like winter too, gets cold.	too. can't wait winter.	like winter too, gets cold.
like winter too, gets cold.	i'd cold hot.	like winter too, gets cold.	i'd cold hot.	like winter too, gets cold.	i'd cold hot.
i'd cold hot.	too.	i'd cold hot.	too.	i'd cold hot.	too.
doesn't look nice outside today.	you're right. think it's going rain later.	doesn't look nice outside today.	you're right. think it's going rain later.	doesn't look nice outside today.	you're right. think it's going rain later.
you're right. think it's going rain later.	middle summer, shouldn't raining.	you're right. think it's going rain later.	middle summer, shouldn't raining.	you're right. think it's going rain later.	middle summer, shouldn't raining.
middle summer, shouldn't raining.	wouldn't right.	middle summer, shouldn't raining.	wouldn't right.	middle summer, shouldn't raining.	wouldn't right.
wouldn't right.	considering it's ninety degrees outside, weird.	wouldn't right.	considering it's ninety degrees outside, weird.	wouldn't right.	considering it's ninety degrees outside, weird.
considering it's ninety degrees outside, weird.	exactly, wouldn't nice started raining. it's hot.	considering it's ninety degrees outside, weird.	exactly, wouldn't nice started raining. it's hot.	considering it's ninety degrees outside, weird.	exactly, wouldn't nice started raining. it's hot.
exactly, wouldn't nice started raining. it's hot.	know, you're absolutely right.	exactly, wouldn't nice started raining. it's hot.	know, you're absolutely right.	exactly, wouldn't nice started raining. it's hot.	know, you're absolutely right.
know, you're absolutely right.	wish cool day.	know, you're absolutely right.	wish cool day.	know, you're absolutely right.	wish cool day.
wish cool day.	that's feel, want winter come soon.	wish cool day.	that's feel, want winter come soon.	wish cool day.	that's feel, want winter come soon.
that's feel, want winter come soon.	enjoy winter, gets cold sometimes.	that's feel, want winter come soon.	enjoy winter, gets cold sometimes.	that's feel, want winter come soon.	enjoy winter, gets cold sometimes.
enjoy winter, gets cold sometimes.	know mean, i'd cold hot.	enjoy winter, gets cold sometimes.	know mean, i'd cold hot.	enjoy winter, gets cold sometimes.	know mean, i'd cold hot.
know mean, i'd cold hot.	that's exactly feel.	know mean, i'd cold hot.	that's exactly feel.	know mean, i'd cold hot.	that's exactly feel.
wish nicer day today.	true. hope doesn't rain.	wish nicer day today.	true. hope doesn't rain.	wish nicer day today.	true. hope doesn't rain.
true. hope doesn't rain.	wouldn't rain middle summer.	true. hope doesn't rain.	wouldn't rain middle summer.	true. hope doesn't rain.	wouldn't rain middle summer.
wouldn't rain middle summer.	wouldn't right started raining right now.	wouldn't rain middle summer.	wouldn't right started raining right now.	wouldn't rain middle summer.	wouldn't right started raining right now.
wouldn't right started raining right now.	weird started raining ninety degree weather.	wouldn't right started raining right now.	weird started raining ninety degree weather.	wouldn't right started raining right now.	weird started raining ninety degree weather.
weird started raining ninety degree weather.	rain right pointless.	weird started raining ninety degree weather.	rain right pointless.	weird started raining ninety degree weather.	rain right pointless.
rain right pointless.	that's right, be.	rain right pointless.	that's right, be.	rain right pointless.	that's right, be.
that's right, be.	want cool some.	that's right, be.	want cool some.	that's right, be.	want cool some.
want cool some.	know mean, can't wait it's winter.	want cool some.	know mean, can't wait it's winter.	want cool some.	know mean, can't wait it's winter.
know mean, can't wait it's winter.	winter great. wish didn't cold though.	know mean, can't wait it's winter.	winter great. wish didn't cold though.	know mean, can't wait it's winter.	winter great. wish didn't cold though.
winter great. wish didn't cold though.	deal winter summer.	winter great. wish didn't cold though.	deal winter summer.	winter great. wish didn't cold though.	deal winter summer.
it's nice day.	yes, is.	it's nice day.	yes, is.	it's nice day.	yes, is.
yes, is.	looks like rain soon.	yes, is.	looks like rain soon.	yes, is.	looks like rain soon.
looks like rain soon.	yes, hope does.	looks like rain soon.	yes, hope does.	looks like rain soon.	yes, hope does.
yes, hope does.	that?	yes, hope does.	that?	yes, hope does.	that?
that?	love rain clears air.	that?	love rain clears air.	that?	love rain clears air.
love rain clears air.	too. smells fresh rains.	love rain clears air.	too. smells fresh rains.	love rain clears air.	too. smells fresh rains.
too. smells fresh rains.	yes, love night air rains.	too. smells fresh rains.	yes, love night air rains.	too. smells fresh rains.	yes, love night air rains.
yes, love night air rains.	really? it?	yes, love night air rains.	really? it?	yes, love night air rains.	really? it?
really? it?	stars perfectly.	really? it?	stars perfectly.	really? it?	stars perfectly.
stars perfectly.	hope rains today.	stars perfectly.	hope rains today.	stars perfectly.	hope rains today.
hope rains today.	yeah, too.	hope rains today.	yeah, too.	hope rains today.	yeah, too.
isn't nice day?	is.	isn't nice day?	is.	isn't nice day?	is.
is.	rain today.	is.	rain today.	is.	rain today.
rain today.	hopefully will.	rain today.	hopefully will.	rain today.	hopefully will.
hopefully will.	come?	hopefully will.	come?	hopefully will.	come?
come?	like clear sky gets rains.	come?	like clear sky gets rains.	come?	like clear sky gets rains.
like clear sky gets rains.	feel way. smells good rains.	like clear sky gets rains.	feel way. smells good rains.	like clear sky gets rains.	feel way. smells good rains.
feel way. smells good rains.	especially love night air rains.	feel way. smells good rains.	especially love night air rains.	feel way. smells good rains.	especially love night air rains.
especially love night air rains.	really? why?	especially love night air rains.	really? why?	especially love night air rains.	really? why?
really? why?	stars look closer rains.	really? why?	stars look closer rains.	really? why?	stars look closer rains.
stars look closer rains.	want rain today.	stars look closer rains.	want rain today.	stars look closer rains.	want rain today.
want rain today.	yeah, i.	want rain today.	yeah, i.	want rain today.	yeah, i.
don't think it's nice out?	yes, think too.	don't think it's nice out?	yes, think too.	don't think it's nice out?	yes, think too.
yes, think too.	think it's going rain.	yes, think too.	think it's going rain.	yes, think too.	think it's going rain.
think it's going rain.	hope rain.	think it's going rain.	hope rain.	think it's going rain.	hope rain.
hope rain.	like rain?	hope rain.	like rain?	hope rain.	like rain?
like rain?	sky looks clean rains. love it.	like rain?	sky looks clean rains. love it.	like rain?	sky looks clean rains. love it.
sky looks clean rains. love it.	understand. rain smell cleaner.	sky looks clean rains. love it.	understand. rain smell cleaner.	sky looks clean rains. love it.	understand. rain smell cleaner.
understand. rain smell cleaner.	love night rains.	understand. rain smell cleaner.	love night rains.	understand. rain smell cleaner.	love night rains.
love night rains.	come?	love night rains.	come?	love night rains.	come?
come?	stars clearly rains.	come?	stars clearly rains.	come?	stars clearly rains.
stars clearly rains.	love rain today.	stars clearly rains.	love rain today.	stars clearly rains.	love rain today.
want beach weekend.	sounds like fun. what's weather going like?	want beach weekend.	sounds like fun. what's weather going like?	want beach weekend.	sounds like fun. what's weather going like?
sounds like fun. what's weather going like?	heard it's going warm weekend.	sounds like fun. what's weather going like?	heard it's going warm weekend.	sounds like fun. what's weather going like?	heard it's going warm weekend.
heard it's going warm weekend.	going perfect beach weather?	heard it's going warm weekend.	going perfect beach weather?	heard it's going warm weekend.	going perfect beach weather?
going perfect beach weather?	believe so.	going perfect beach weather?	believe so.	going perfect beach weather?	believe so.
believe so.	good. hope doesn't cool weekend.	believe so.	good. hope doesn't cool weekend.	believe so.	good. hope doesn't cool weekend.
good. hope doesn't cool weekend.	know. want beach.	good. hope doesn't cool weekend.	know. want beach.	good. hope doesn't cool weekend.	know. want beach.
know. want beach.	know california weather unpredictable.	know. want beach.	know california weather unpredictable.	know. want beach.	know california weather unpredictable.
know california weather unpredictable.	you're right. minute it's hot, minute it's cold.	know california weather unpredictable.	you're right. minute it's hot, minute it's cold.	know california weather unpredictable.	you're right. minute it's hot, minute it's cold.
you're right. minute it's hot, minute it's cold.	wish weather stay same.	you're right. minute it's hot, minute it's cold.	wish weather stay same.	you're right. minute it's hot, minute it's cold.	wish weather stay same.
wish weather stay same.	too. way activities planned ahead time.	wish weather stay same.	too. way activities planned ahead time.	wish weather stay same.	too. way activities planned ahead time.
too. way activities planned ahead time.	yeah, things lot easier.	too. way activities planned ahead time.	yeah, things lot easier.	too. way activities planned ahead time.	yeah, things lot easier.
like trip beach weekend.	trip beach fun. weather going be?	like trip beach weekend.	trip beach fun. weather going be?	like trip beach weekend.	trip beach fun. weather going be?
trip beach fun. weather going be?	forecast says warm weekend.	trip beach fun. weather going be?	forecast says warm weekend.	trip beach fun. weather going be?	forecast says warm weekend.
forecast says warm weekend.	think it'll perfect weather beach?	forecast says warm weekend.	think it'll perfect weather beach?	forecast says warm weekend.	think it'll perfect weather beach?
think it'll perfect weather beach?	sounds like be.	think it'll perfect weather beach?	sounds like be.	think it'll perfect weather beach?	sounds like be.
sounds like be.	hope doesn't cold.	sounds like be.	hope doesn't cold.	sounds like be.	hope doesn't cold.
hope doesn't cold.	ruin things, want badly.	hope doesn't cold.	ruin things, want badly.	hope doesn't cold.	ruin things, want badly.
ruin things, want badly.	weather california unpredictable, know.	ruin things, want badly.	weather california unpredictable, know.	ruin things, want badly.	weather california unpredictable, know.
weather california unpredictable, know.	true. weather constantly changing.	weather california unpredictable, know.	true. weather constantly changing.	weather california unpredictable, know.	true. weather constantly changing.
true. weather constantly changing.	nice weather change.	true. weather constantly changing.	nice weather change.	true. weather constantly changing.	nice weather change.
nice weather change.	great, plan things sooner.	nice weather change.	great, plan things sooner.	nice weather change.	great, plan things sooner.
great, plan things sooner.	true. predictable weather life easier.	great, plan things sooner.	true. predictable weather life easier.	great, plan things sooner.	true. predictable weather life easier.
nice beach weekend.	what's weather going like? want too.	nice beach weekend.	what's weather going like? want too.	nice beach weekend.	what's weather going like? want too.
what's weather going like? want too.	weather weekend supposed warm.	what's weather going like? want too.	weather weekend supposed warm.	what's weather going like? want too.	weather weekend supposed warm.
weather weekend supposed warm.	good beach weather?	weather weekend supposed warm.	good beach weather?	weather weekend supposed warm.	good beach weather?
good beach weather?	think be.	good beach weather?	think be.	good beach weather?	think be.
think be.	wouldn't good got cold weekend.	think be.	wouldn't good got cold weekend.	think be.	wouldn't good got cold weekend.
wouldn't good got cold weekend.	want trip perfect, hope stays warm.	wouldn't good got cold weekend.	want trip perfect, hope stays warm.	wouldn't good got cold weekend.	want trip perfect, hope stays warm.
want trip perfect, hope stays warm.	california weather uncertain, it's impossible know what'll happen.	want trip perfect, hope stays warm.	california weather uncertain, it's impossible know what'll happen.	want trip perfect, hope stays warm.	california weather uncertain, it's impossible know what'll happen.
california weather uncertain, it's impossible know what'll happen.	know. day weather different.	california weather uncertain, it's impossible know what'll happen.	know. day weather different.	california weather uncertain, it's impossible know what'll happen.	know. day weather different.
know. day weather different.	love wasn't unpredictable.	know. day weather different.	love wasn't unpredictable.	know. day weather different.	love wasn't unpredictable.
love wasn't unpredictable.	easier plans.	love wasn't unpredictable.	easier plans.	love wasn't unpredictable.	easier plans.
hello, speak alice please?	she. how's going?	hello, speak alice please?	she. how's going?	hello, speak alice please?	she. how's going?
she. how's going?	i've trying day.	she. how's going?	i've trying day.	she. how's going?	i've trying day.
i've trying day.	sorry that. cleaning up.	i've trying day.	sorry that. cleaning up.	i've trying day.	sorry that. cleaning up.
sorry that. cleaning up.	it's okay.	sorry that. cleaning up.	it's okay.	sorry that. cleaning up.	it's okay.
it's okay.	calling about?	it's okay.	calling about?	it's okay.	calling about?
calling about?	oh, wanted wanted hang tomorrow.	calling about?	oh, wanted wanted hang tomorrow.	calling about?	oh, wanted wanted hang tomorrow.
oh, wanted wanted hang tomorrow.	sure, want do?	oh, wanted wanted hang tomorrow.	sure, want do?	oh, wanted wanted hang tomorrow.	sure, want do?
sure, want do?	maybe movie something.	sure, want do?	maybe movie something.	sure, want do?	maybe movie something.
maybe movie something.	sounds like fun. let's it.	maybe movie something.	sounds like fun. let's it.	maybe movie something.	sounds like fun. let's it.
sounds like fun. let's it.	i'll tomorrow then.	sounds like fun. let's it.	i'll tomorrow then.	sounds like fun. let's it.	i'll tomorrow then.
i'll tomorrow then.	then. goodbye.	i'll tomorrow then.	then. goodbye.	i'll tomorrow then.	then. goodbye.
hi, you. alice there?	speaking. what's up?	hi, you. alice there?	speaking. what's up?	hi, you. alice there?	speaking. what's up?
speaking. what's up?	haven't answered phone?	speaking. what's up?	haven't answered phone?	speaking. what's up?	haven't answered phone?
haven't answered phone?	bad, chores do.	haven't answered phone?	bad, chores do.	haven't answered phone?	bad, chores do.
bad, chores do.	that's right.	bad, chores do.	that's right.	bad, chores do.	that's right.
that's right.	reason call?	that's right.	reason call?	that's right.	reason call?
reason call?	want tomorrow you.	reason call?	want tomorrow you.	reason call?	want tomorrow you.
want tomorrow you.	sounds good. mind?	want tomorrow you.	sounds good. mind?	want tomorrow you.	sounds good. mind?
sounds good. mind?	thinking seeing movie.	sounds good. mind?	thinking seeing movie.	sounds good. mind?	thinking seeing movie.
thinking seeing movie.	okay, let's movie.	thinking seeing movie.	okay, let's movie.	thinking seeing movie.	okay, let's movie.
okay, let's movie.	then.	okay, let's movie.	then.	okay, let's movie.	then.
then.	talk later.	then.	talk later.	then.	talk later.
alice available?	you're talking her.	alice available?	you're talking her.	alice available?	you're talking her.
you're talking her.	i've called times today.	you're talking her.	i've called times today.	you're talking her.	i've called times today.
i've called times today.	busy something. apologize.	i've called times today.	busy something. apologize.	i've called times today.	busy something. apologize.
busy something. apologize.	problem.	busy something. apologize.	problem.	busy something. apologize.	problem.
problem.	need something?	problem.	need something?	problem.	need something?
need something?	want tomorrow?	need something?	want tomorrow?	need something?	want tomorrow?
want tomorrow?	special wanted go?	want tomorrow?	special wanted go?	want tomorrow?	special wanted go?
special wanted go?	movie?	special wanted go?	movie?	special wanted go?	movie?
movie?	movie sounds good.	movie?	movie sounds good.	movie?	movie sounds good.
movie sounds good.	tomorrow then.	movie sounds good.	tomorrow then.	movie sounds good.	tomorrow then.
seen new girl school?	no, haven't.	seen new girl school?	no, haven't.	seen new girl school?	no, haven't.
no, haven't.	she's pretty.	no, haven't.	she's pretty.	no, haven't.	she's pretty.
she's pretty.	describe me.	she's pretty.	describe me.	she's pretty.	describe me.
describe me.	she's tall.	describe me.	she's tall.	describe me.	she's tall.
she's tall.	well, tall she?	she's tall.	well, tall she?	she's tall.	well, tall she?
well, tall she?	she's feet even.	well, tall she?	she's feet even.	well, tall she?	she's feet even.
she's feet even.	look like, though?	she's feet even.	look like, though?	she's feet even.	look like, though?
look like, though?	pretty light brown eyes.	look like, though?	pretty light brown eyes.	look like, though?	pretty light brown eyes.
pretty light brown eyes.	know girl you're talking about.	pretty light brown eyes.	know girl you're talking about.	pretty light brown eyes.	know girl you're talking about.
know girl you're talking about.	seen around?	know girl you're talking about.	seen around?	know girl you're talking about.	seen around?
seen around?	yes, have.	seen around?	yes, have.	seen around?	yes, have.
there's new girl school, seen yet?	haven't seen yet.	there's new girl school, seen yet?	haven't seen yet.	there's new girl school, seen yet?	haven't seen yet.
haven't seen yet.	think pretty.	haven't seen yet.	think pretty.	haven't seen yet.	think pretty.
think pretty.	tell looks.	think pretty.	tell looks.	think pretty.	tell looks.
tell looks.	she's kind short.	tell looks.	she's kind short.	tell looks.	she's kind short.
she's kind short.	height she?	she's kind short.	height she?	she's kind short.	height she?
height she?	she's probably feet.	height she?	she's probably feet.	height she?	she's probably feet.
she's probably feet.	that's nice, tell looks like.	she's probably feet.	that's nice, tell looks like.	she's probably feet.	that's nice, tell looks like.
that's nice, tell looks like.	thing noticed beautiful brown eyes.	that's nice, tell looks like.	thing noticed beautiful brown eyes.	that's nice, tell looks like.	thing noticed beautiful brown eyes.
thing noticed beautiful brown eyes.	think might've bumped before.	thing noticed beautiful brown eyes.	think might've bumped before.	thing noticed beautiful brown eyes.	think might've bumped before.
think might've bumped before.	telling you've seen before?	think might've bumped before.	telling you've seen before?	think might've bumped before.	telling you've seen before?
telling you've seen before?	believe so.	telling you've seen before?	believe so.	telling you've seen before?	believe so.
met new girl?	no. you?	met new girl?	no. you?	met new girl?	no. you?
no. you?	she's prettiest girls school.	no. you?	she's prettiest girls school.	no. you?	she's prettiest girls school.
she's prettiest girls school.	look like?	she's prettiest girls school.	look like?	she's prettiest girls school.	look like?
look like?	well, she's short.	look like?	well, she's short.	look like?	well, she's short.
well, she's short.	tall is?	well, she's short.	tall is?	well, she's short.	tall is?
tall is?	she's feet.	tall is?	she's feet.	tall is?	she's feet.
she's feet.	facial features?	she's feet.	facial features?	she's feet.	facial features?
facial features?	light brown eyes, absolutely beautiful.	facial features?	light brown eyes, absolutely beautiful.	facial features?	light brown eyes, absolutely beautiful.
light brown eyes, absolutely beautiful.	think know you're talking about.	light brown eyes, absolutely beautiful.	think know you're talking about.	light brown eyes, absolutely beautiful.	think know you're talking about.
think know you're talking about.	seen her?	think know you're talking about.	seen her?	think know you're talking about.	seen her?
weren't school yesterday?	wasn't feeling well.	weren't school yesterday?	wasn't feeling well.	weren't school yesterday?	wasn't feeling well.
wasn't feeling well.	wrong you?	wasn't feeling well.	wrong you?	wasn't feeling well.	wrong you?
wrong you?	stomach upset.	wrong you?	stomach upset.	wrong you?	stomach upset.
stomach upset.	feel better now?	stomach upset.	feel better now?	stomach upset.	feel better now?
feel better now?	don't feel yet.	feel better now?	don't feel yet.	feel better now?	don't feel yet.
don't feel yet.	want feel better?	don't feel yet.	want feel better?	don't feel yet.	want feel better?
want feel better?	no, thanks. took medicine.	want feel better?	no, thanks. took medicine.	want feel better?	no, thanks. took medicine.
no, thanks. took medicine.	hope feel better.	no, thanks. took medicine.	hope feel better.	no, thanks. took medicine.	hope feel better.
hope feel better.	thank you.	hope feel better.	thank you.	hope feel better.	thank you.
reason missing school?	sick.	reason missing school?	sick.	reason missing school?	sick.
sick.	sick?	sick.	sick?	sick.	sick?
sick?	stomachache.	sick?	stomachache.	sick?	stomachache.
stomachache.	better?	stomachache.	better?	stomachache.	better?
better?	i'm feeling weather.	better?	i'm feeling weather.	better?	i'm feeling weather.
i'm feeling weather.	like stomach?	i'm feeling weather.	like stomach?	i'm feeling weather.	like stomach?
like stomach?	took earlier.	like stomach?	took earlier.	like stomach?	took earlier.
took earlier.	better.	took earlier.	better.	took earlier.	better.
better.	thanks lot.	better.	thanks lot.	better.	thanks lot.
didn't school yesterday?	stayed home wasn't feeling well.	didn't school yesterday?	stayed home wasn't feeling well.	didn't school yesterday?	stayed home wasn't feeling well.
stayed home wasn't feeling well.	problem?	stayed home wasn't feeling well.	problem?	stayed home wasn't feeling well.	problem?
problem?	stomach bothering me.	problem?	stomach bothering me.	problem?	stomach bothering me.
stomach bothering me.	feeling better?	stomach bothering me.	feeling better?	stomach bothering me.	feeling better?
feeling better?	i'm feeling little sick.	feeling better?	i'm feeling little sick.	feeling better?	i'm feeling little sick.
i'm feeling little sick.	i'm going store, like pepto bismol?	i'm feeling little sick.	i'm going store, like pepto bismol?	i'm feeling little sick.	i'm going store, like pepto bismol?
i'm going store, like pepto bismol?	that's okay.	i'm going store, like pepto bismol?	that's okay.	i'm going store, like pepto bismol?	that's okay.
that's okay.	hope feel better.	that's okay.	hope feel better.	that's okay.	hope feel better.
hear good news?	no, haven't.	hear good news?	no, haven't.	hear good news?	no, haven't.
no, haven't.	got promotion job.	no, haven't.	got promotion job.	no, haven't.	got promotion job.
got promotion job.	really?	got promotion job.	really?	got promotion job.	really?
really?	seriously, excited.	really?	seriously, excited.	really?	seriously, excited.
seriously, excited.	well, congratulations.	seriously, excited.	well, congratulations.	seriously, excited.	well, congratulations.
well, congratulations.	thank you.	well, congratulations.	thank you.	well, congratulations.	thank you.
thank you.	i'm happy you.	thank you.	i'm happy you.	thank you.	i'm happy you.
i'm happy you.	really?	i'm happy you.	really?	i'm happy you.	really?
really?	yes. deserved this.	really?	yes. deserved this.	really?	yes. deserved this.
yes. deserved this.	think so?	yes. deserved this.	think so?	yes. deserved this.	think so?
think so?	yes. good you.	think so?	yes. good you.	think so?	yes. good you.
heard good news?	haven't told yet.	heard good news?	haven't told yet.	heard good news?	haven't told yet.
haven't told yet.	got promotion work earlier week.	haven't told yet.	got promotion work earlier week.	haven't told yet.	got promotion work earlier week.
got promotion work earlier week.	right?	got promotion work earlier week.	right?	got promotion work earlier week.	right?
right?	it's truth. happy.	right?	it's truth. happy.	right?	it's truth. happy.
it's truth. happy.	congratulations promotion.	it's truth. happy.	congratulations promotion.	it's truth. happy.	congratulations promotion.
congratulations promotion.	thank much.	congratulations promotion.	thank much.	congratulations promotion.	thank much.
thank much.	excited you.	thank much.	excited you.	thank much.	excited you.
excited you.	really?	excited you.	really?	excited you.	really?
really?	i'm serious. deserved promotion.	really?	i'm serious. deserved promotion.	really?	i'm serious. deserved promotion.
i'm serious. deserved promotion.	think?	i'm serious. deserved promotion.	think?	i'm serious. deserved promotion.	think?
think?	yes, do.	think?	yes, do.	think?	yes, do.
haven't told happened yet, i?	haven't heard anything.	haven't told happened yet, i?	haven't heard anything.	haven't told happened yet, i?	haven't heard anything.
haven't heard anything.	boss offered promotion, took it.	haven't heard anything.	boss offered promotion, took it.	haven't heard anything.	boss offered promotion, took it.
boss offered promotion, took it.	serious?	boss offered promotion, took it.	serious?	boss offered promotion, took it.	serious?
serious?	yes, excited.	serious?	yes, excited.	serious?	yes, excited.
yes, excited.	that's great. congratulations.	yes, excited.	that's great. congratulations.	yes, excited.	that's great. congratulations.
that's great. congratulations.	appreciate that.	that's great. congratulations.	appreciate that.	that's great. congratulations.	appreciate that.
appreciate that.	idea happy you.	appreciate that.	idea happy you.	appreciate that.	idea happy you.
idea happy you.	real?	idea happy you.	real?	idea happy you.	real?
look nice today.	thank you. got outfit day.	look nice today.	thank you. got outfit day.	look nice today.	thank you. got outfit day.
thank you. got outfit day.	really, it?	thank you. got outfit day.	really, it?	thank you. got outfit day.	really, it?
really, it?	got macy's.	really, it?	got macy's.	really, it?	got macy's.
got macy's.	it's nice.	got macy's.	it's nice.	got macy's.	it's nice.
it's nice.	thanks again. look nice today, too.	it's nice.	thanks again. look nice today, too.	it's nice.	thanks again. look nice today, too.
thanks again. look nice today, too.	thank you. got shoes today.	thanks again. look nice today, too.	thank you. got shoes today.	thanks again. look nice today, too.	thank you. got shoes today.
thank you. got shoes today.	really? kind shoes they?	thank you. got shoes today.	really? kind shoes they?	thank you. got shoes today.	really? kind shoes they?
really? kind shoes they?	called star chuck taylors.	really? kind shoes they?	called star chuck taylors.	really? kind shoes they?	called star chuck taylors.
called star chuck taylors.	like those. cost?	called star chuck taylors.	like those. cost?	called star chuck taylors.	like those. cost?
like those. cost?	dollars.	like those. cost?	dollars.	like those. cost?	dollars.
dollars.	think i'm going buy pair.	dollars.	think i'm going buy pair.	dollars.	think i'm going buy pair.
absolutely love you're wearing today.	do? bought outfit couple days ago.	absolutely love you're wearing today.	do? bought outfit couple days ago.	absolutely love you're wearing today.	do? bought outfit couple days ago.
do? bought outfit couple days ago.	seriously, looks nice you. buy from?	do? bought outfit couple days ago.	seriously, looks nice you. buy from?	do? bought outfit couple days ago.	seriously, looks nice you. buy from?
seriously, looks nice you. buy from?	bought macy's santa anita mall.	seriously, looks nice you. buy from?	bought macy's santa anita mall.	seriously, looks nice you. buy from?	bought macy's santa anita mall.
bought macy's santa anita mall.	like outfit.	bought macy's santa anita mall.	like outfit.	bought macy's santa anita mall.	like outfit.
like outfit.	thanks. think look nice today, too.	like outfit.	thanks. think look nice today, too.	like outfit.	thanks. think look nice today, too.
thanks. think look nice today, too.	thank you. bought new shoes earlier today.	thanks. think look nice today, too.	thank you. bought new shoes earlier today.	thanks. think look nice today, too.	thank you. bought new shoes earlier today.
thank you. bought new shoes earlier today.	nice. they?	thank you. bought new shoes earlier today.	nice. they?	thank you. bought new shoes earlier today.	nice. they?
nice. they?	chucks.	nice. they?	chucks.	nice. they?	chucks.
chucks.	great. they?	chucks.	great. they?	chucks.	great. they?
great. they?	got forty.	great. they?	got forty.	great. they?	got forty.
got forty.	think find pair chucks.	got forty.	think find pair chucks.	got forty.	think find pair chucks.
think look cute today.	right? brand new outfit.	think look cute today.	right? brand new outfit.	think look cute today.	right? brand new outfit.
